num,orig_ind,id,text,label
19,34088,9.69E+17,"How ""fat acceptance"" is affecting well-being and chronic disease via @NYTHealth  - http://nyti.ms/2CIwvKw  #nutrition #health",2
20,40235,1.06E+18,"You may think fanfiction is innocent fun, but it's a doorway to fat acceptance",2
21,29097,8.72E+17,I liked a @YouTube video http://youtu.be/XzykIjoP8XA?a  FAT FEMINIST TRIGGERED CRINGE Fail! SJW MELTDOWN COMPILATION! Fat Acceptance...,1
22,5634,2.01E+17,So what's YOUR standpoint in the size acceptance movement? http://www.moreofmetolove.com/blogs/entry/meet-erec-a-not-fat-african-american-male-rhetorician/ … @naafa #fatacceptance,2
23,44165,1.14E+18,"Who needs to hear this today? 

#allbodiesaregoodbodies #lovelythebook #healthateverysize #askamanda #fatacceptance #bodypositivity #catholicbooks
#ditchdietculture #bodyposi #fatpositive #fatactivism #plussize #bopo… https://www.instagram.com/p/ByQBCUBBswi/?igshid=uewze13huws5 …",2
24,2780,3.42E+16,#Ask Thoughts on fat acceptance as a feminist issue? What are your thoughts?: ...I started reading into the fat ... http://bit.ly/gkplpY,2
25,4588,1.69E+17,"Why the fat acceptance movement does not glamorize obesity, http://dld.bz/zVSp ",2
26,29880,8.88E+17,I somehow ended up in the realm of twitter for fat acceptance - the kind where everyone else is wrong and they're healthy,0
27,6879,2.59E+17,Twiggy twiggy twiggy/ can't you see/ your lack of curves infuriates me - theme of the skinny-shamers in the fat acceptance crowd,2
28,2599,2.07E+16,"Same here chica! Though I am on a diet and have lost 5 pounds so far! Woo!""@kweenie: Looool, Dad doesn't like it when... #fatacceptance""",2
29,45922,1.16E+18,"Fat Acceptance.

The only movement without movement. pic.twitter.com/BsvbFlZ9u1",2
30,33009,9.51E+17,I liked a @YouTube video http://youtu.be/tT-Ob_eYEd8?a  Why I Hate 'Fat Acceptance',1
31,22749,7.48E+17,"fat acceptance simply an assault on the notion of aesthetics, standards for beauty... But it's fun to pick out contradictions",1
32,46162,1.17E+18,"“My truth” is code for fat acceptance.

Enjoy having these morbidly obese orcs stare down at you from above, America. You are witnessing the Talmudic desecration of your culture.

This is the final death throes of a sick and dying society.",0
33,35292,9.87E+17,"Men! 
We have SPEED DATE tickets left just for you! Ladies have snapped up all of theirs, so we need chaps to even up the numbers.
(Dont worry girls, you can still join us from 9pm for Club Indulge as normal!) #plussize #bbw #ssbbw #fatacceptance http://www.club-indulge.com ",2
34,2912,4.51E+16,"Being in the tourist capital of the US, I am gratified to find Fat Tuesday accurately represented. #fatacceptance #booyaw",0
35,7267,2.88E+17,@NewBiggestLoser 'fat acceptance group?' So children should be ok being fat and unhealthy their whole lives?,1
36,16560,5.96E+17,this whole dadbod thing is almost as ridiculous as the #FatAcceptance 'movement',1
37,18064,6.19E+17,Speaking of crop tops...taking it back 5 yrs. Def not a flat tummy. #rockthecrop #fatacceptance #bodyacceptancepic.twitter.com/MxfiOOkFqY,2
38,16959,6.00E+17,"i feel sick 
Taboo: Fat Acceptance https://youtu.be/PRnRS19topc  via @YouTube",0
39,25274,7.93E+17,"Look out for the Killer/Creepy clowns, the SJW clowns, the fat acceptance clowns, the Baby Mama acceptance clowns, the PC clowns...",1
40,10562,4.39E+17,"Fat acceptance is a lifestyle change - bumsquash: So’s going from hating yourself, to not hating yourself... http://tmblr.co/ZOwb_r18ZVoLp ",0
41,26501,8.27E+17,Enjoy the 'Super Duper Incontrovertibly Incredible & Unrelentingly Exciting Fat Acceptance Test' - on #BookBuzzr - http://bit.ly/2dbhMLZ ,0
42,1806,17530975575,"@DataHawk Oh I am fine with fat acceptance, it is nice, the idea people wouldn't reject me outright, but to intentionally gain? Ugh",0
43,28549,8.60E+17,the whole fat acceptance bullshit pisses me off,1
44,14252,5.52E+17,"@yemi_isms cannot stand these posts ""what I don't understand about fat acceptance"". all they want to do is shame!",0
45,43878,1.13E+18,"Probably because you don't really see anorexia being promoted by the general public, but more of an unfortunate consequence of the way most models look. You have a fat acceptance movement, but you don't have an anorexia acceptance movement.",1
46,38829,1.04E+18,"Also, I thought women like you were for body positivity and fat acceptance.  I guess men with beer guts dont count right?  ",2
47,1382,17387468080,"New at Tranquilmoon.net: ""Huge"" marks advance for fat acceptance in Hollywood (Reuters) (http://bit.ly/aKwwTB) http://bit.ly/aKwwTB",0
48,24956,7.85E+17,I liked a @YouTube video from @roamingmil http://youtu.be/tpeQf7VFvkY?a  OBESITY IS BEAUTIFUL!!! | Fat Pride and Fat Acceptance,0
49,38916,1.04E+18,I liked a @YouTube video http://youtu.be/A93c0p_ZQB4?a  Tess Holliday and Cosmo: Fat Acceptance is NOT Okay.,1
50,47336,1.19E+18,"Oh and you, you hip deficient cricket, fat acceptance and body positivity go hand in hand. You’re just as ignorant as she is to mention “overeating and wanting an excuse to feel better.” CLEARLY, as evidenced by you, being skinny doesn’t equal being attractive. https://twitter.com/michelle_pugluv/status/1188966927504293888 …",0
51,17267,6.04E+17,@dukeofpoop #fatacceptance so who verifies the NSA is just a setup for a big Helm,2
52,37113,1.01E+18,What do you think about fat acceptance — i think every body type is beautiful and deserves to be respected and loved!!! <3 i struggle with... https://curiouscat.me/biIliebitch/post/552886138?1530592820 …,0
53,8936,3.61E+17,http://bit.ly/14gE7e9#  Obesity#Stigma#Whale Section#Eating Disorders#Body Image#Mental Health#Weight Loss#Fitness#Fat Acceptance#FB#Twitterv,2
54,44522,1.14E+18,This post was made by fat acceptance gang,2
55,2979,5.07E+16,"I'm like the fucking Voldemort of Fat Acceptance - People are using nicknames and shit, like the mere... http://tumblr.com/xco1uyob8y",1
56,30948,9.05E+17,"Even in context I felt it wasn't cool of them, especially since part of Gumball's ""bad"" justice was fat acceptance",0
57,10576,4.40E+17,Reblog if you're a fat acceptance/ fat positive/body positive blog. - anchorsofasail0r: We need to find... http://tmblr.co/ZnOE5s18oamLN ,0
58,37046,1.01E+18,"When the world is one fire, giving to a great cause like @Artists_Ali helps make the world a little bit better. #FatAcceptance #BodyPositivity https://twitter.com/Artists_Ali/status/1012743171363794944 …",0
59,12142,4.85E+17,"""This is a current list of tags 4chan is targeting. Feminism Feminist Patriarchy Fat Acceptance Womyn..."" http://tmblr.co/ZiTEou1KcUExX ",2
60,14060,5.50E+17,6 Things I Don’t Understand About The Fat Acceptance Movement | Thought Catalog  http://buff.ly/1rtHAs9 ,2
61,44661,1.14E+18,RT chelsdabells: if ur body politics &amp; “body positivity” don’t center fat acceptance &amp; disability politics or work to deconstruct thin pri…,0
62,46956,1.18E+18,The fat acceptance movement is only part of that whole circus these days.,1
63,9244,3.73E+17,Who's coming to Fat Positive tonight then? #fatacceptance,0
64,18786,6.35E+17,I liked a @YouTube video http://youtu.be/PHZpU1ykdc8?a  Check Your Privilege Episode Two: Fat Acceptance,2
65,25607,8.04E+17,I liked a @YouTube video http://youtu.be/ZsdaLqAZ9hA?a  Fat Acceptance | ContraPoints,2
66,31434,9.16E+17,Fat shaming is not helpful (we do not eat more than our non-obese kin) but fat acceptance is equally misguided (see The Obesity Code). https://twitter.com/eissolomon11/status/916415669444497408 …,1
67,4104,1.35E+17,Fat Acceptance Is Unacceptable http://wp.me/p1GY7G-dB  /via @wordpressdotcom,1
68,3707,1.04E+17,RT @awesomefrances Don't forget @Doc_Samantha and I are on ABC @702sydney @ 10.30am talking about #fatacceptance.,2
69,25910,8.11E+17,#FatShaming #FatAcceptance #dietpains World's knowledge in 1 hand site: Women Admit Their Top Regrets -Can We Learn? http://bit.ly/1LjZ9ir ,2
70,10142,4.21E+17,"I love Freelee the Banana Girl!!
Fat Acceptance, Fat Shaming 
http://www.youtube.com/watch?v=eP0gtM5pcoU&feature=c4-overview&list=UULwUd5KtYONsRJ3UAOojZ0w …",2
71,47731,1.20E+18,"Obese person listening to food cues =crack addict listening to crack cues.
#fatloss #fatacceptance kills",2
72,47184,1.19E+18,"Hey furries, stuffing fetishes are not ‘fat acceptance/body positive’. 

Stop it ",0
73,45419,1.15E+18,"#fatacceptance the fact that you call being overweight beautiful is disgusting. my family is overweight and seeing them struggle with it is heartbreaking. heart disease is the #1 causing death in america. if you want to call death beautiful, fuck you.",1
74,2886,4.21E+16,i remember reading on one of the many fat acceptance blogs i follow that one main step to loving your self... http://tumblr.com/xzb1mwbq4o,0
75,1818,17957350908,RT @HealthHabits Fat Belly = Tiny Brain - http://bit.ly/b2CZ4c - #health #fitness #obesity #fat #diet #fatacceptance #brain,1
76,5603,1.99E+17,"@Cookwitch ISWYM, my comment was more fat and healthy is fine, but if health issues are made worse by fat, why hide behind fat acceptance",1
77,411,9441812757,RT @BigGirlBlue: What Fat Acceptance is or isn't in a nutshell --> http://tinyurl.com/ykusnfx  RT load and often!!,2
78,48475,1.21E+18,"Are you body shaming.

#fatacceptance
#haes
#BodyShaming
#BodyPositivity",2
79,21385,7.13E+17,"Common modern woman's dilemma: too fat to be hot, too skinny to be a fetish--or a fat acceptance activist. https://twitter.com/ninjadinosaur1/status/703344166907088896 …",2
80,41270,1.08E+18,"I'm going to embarrass myself. If you're not paraplegic or quadriplegic, and you're laying your fat ass around the house right now, look up this name J.D. Gibbs. #NASCAR HE WAS 49. MY SAME AGE. Fuck #FatAcceptance #BodyPositive Life is short & can be taken from you in an instant",1
81,46114,1.17E+18,"Both of them because being fat is not derrogatory. If you think fat is an insult then you hate to go check your bodyshaming a little. Their movement is even called ""Fat acceptance"" omg",1
82,4385,1.55E+17,#Ask How come Canadians always need a movement to accept each other?: The fat acceptance movement - http://www.y... http://bit.ly/zrr2uZ ,2
83,44973,1.15E+18,"Seriously though, if you want me to pay more for things because of some people's lack of self control I feel it is fully justified for me to judge those people for their lack of self control.

And the fat acceptance movements should be shut down and considered dangerous.",1
84,1464,17383347827,": ""Huge"" Marks Advance for Fat Acceptance in Hollywood - ABC News http://ping.fm/eRgg5 http://bit.ly/aHJZJa",0
85,40794,1.07E+18,I liked a @YouTube video http://youtu.be/Eik_g-f8Lws?a  Fat Acceptance Hits an All Time Low,1
86,4088,1.33E+17,"The other side of the coin...? - I like to think I’m part of the Fat Acceptance movement, though I wouldn’t... http://tmblr.co/Zi_LmwBaqqOl ",0
87,1130,17446434782,"'Huge' marks advance for fat acceptance on TV: After years of reality weight-loss and diet shows, the first episode of ""Huge"" on cable...",0
88,30772,9.01E+17,#feminism #fatshaming #fatacceptance #fattiesunite #itsokayimfat #tgm #ifatshame because I care. Im at 210 working for 160 #Letsgo #grind,1
89,12032,4.85E+17,"Also, ""fat acceptance"" is a very dangerous mindset.",1
90,1716,17573080167,quot;Huge quot; is advance for fat acceptance in Hollywood - Calgary Herald http://tinyurl.com/2fm89rp,0
91,27050,8.37E+17,When ur favorite fat acceptance and positivity gals interact  https://twitter.com/fyeahmfabello/status/837075668101890048 …,0
92,39808,1.05E+18,"The #fatacceptance movement is disillusioned, destructive and dangerous. #weightloss is hard enough how it is!http://youtu.be/ECg8CEhjFO8?a ",1
93,24139,7.73E+17,I liked a @YouTube video http://youtu.be/I796qi7YLgA?a  Fat Acceptance - MGTOW,0
94,31288,9.14E+17,Who else is excited for the fat activism conference next week? #fatactivism #fatacceptance ,0
95,1922,19756999954,New slogan for Fat Acceptance movement: a waist is a terrible thing to mind. Has this already been done?,0
96,23975,7.70E+17,I liked a @YouTube video from @cringe_core http://youtu.be/tOVhLziWwCA?a  FAT ACCEPTANCE CRINGE COMPILATION,2
97,45956,1.16E+18,"As a soon to be former fat guy. The fat acceptance thing is pure b.s. by yes people who do not want to do the work. And want all of us to kiss your ass. NOT GOING TO ""F""ing happen buttercup.",1
98,24172,7.74E+17,Enjoy the 'Super Duper Incontrovertibly Incredible & Unrelentingly Exciting Fat Acceptance Test' - on #BookBuzzr - http://bit.ly/9AW2y9 ,0
99,38989,1.04E+18,I liked a @YouTube video http://youtu.be/tOVhLziWwCA?a  FAT ACCEPTANCE CRINGE COMPILATION,2
