num,orig_ind,id,text,label1,label2,final_label
47,1382,17387468080,"New at Tranquilmoon.net: ""Huge"" marks advance for fat acceptance in Hollywood (Reuters) (http://bit.ly/aKwwTB) http://bit.ly/aKwwTB",0,2,
48,24956,785314518419312641,I liked a @YouTube video from @roamingmil http://youtu.be/tpeQf7VFvkY?a  OBESITY IS BEAUTIFUL!!! | Fat Pride and Fat Acceptance,1,0,
49,38916,1039676007249108992,I liked a @YouTube video http://youtu.be/A93c0p_ZQB4?a  Tess Holliday and Cosmo: Fat Acceptance is NOT Okay.,1,1,
50,47336,1189316102234562560,"Oh and you, you hip deficient cricket, fat acceptance and body positivity go hand in hand. You’re just as ignorant as she is to mention “overeating and wanting an excuse to feel better.” CLEARLY, as evidenced by you, being skinny doesn’t equal being attractive. https://twitter.com/michelle_pugluv/status/1188966927504293888 …",0,0,
51,17267,604180849542615040,@dukeofpoop #fatacceptance so who verifies the NSA is just a setup for a big Helm,2,2,
52,37113,1014005900992970754,What do you think about fat acceptance — i think every body type is beautiful and deserves to be respected and loved!!! <3 i struggle with... https://curiouscat.me/biIliebitch/post/552886138?1530592820 …,0,0,
53,8936,360861117276356609,http://bit.ly/14gE7e9#  Obesity#Stigma#Whale Section#Eating Disorders#Body Image#Mental Health#Weight Loss#Fitness#Fat Acceptance#FB#Twitterv,1,2,
54,44522,1141458708272226304,This post was made by fat acceptance gang,2,2,
55,2979,50650009636569088,"I'm like the fucking Voldemort of Fat Acceptance - People are using nicknames and shit, like the mere... http://tumblr.com/xco1uyob8y",2,1,
56,30948,904582116926783488,"Even in context I felt it wasn't cool of them, especially since part of Gumball's ""bad"" justice was fat acceptance",2,2,
57,10576,439563483110461440,Reblog if you're a fat acceptance/ fat positive/body positive blog. - anchorsofasail0r: We need to find... http://tmblr.co/ZnOE5s18oamLN ,0,0,
58,37046,1012751563612409856,"When the world is one fire, giving to a great cause like @Artists_Ali helps make the world a little bit better. #FatAcceptance #BodyPositivity https://twitter.com/Artists_Ali/status/1012743171363794944 …",0,0,
59,12142,485371747362177025,"""This is a current list of tags 4chan is targeting. Feminism Feminist Patriarchy Fat Acceptance Womyn..."" http://tmblr.co/ZiTEou1KcUExX ",0,2,
60,14060,549658391803887616,6 Things I Don’t Understand About The Fat Acceptance Movement | Thought Catalog  http://buff.ly/1rtHAs9 ,1,1,
61,44661,1141541397830545409,RT chelsdabells: if ur body politics &amp; “body positivity” don’t center fat acceptance &amp; disability politics or work to deconstruct thin pri…,2,0,
62,46956,1181882301396860930,The fat acceptance movement is only part of that whole circus these days.,1,1,
63,9244,373095764098306048,Who's coming to Fat Positive tonight then? #fatacceptance,0,0,
64,18786,634850094139904000,I liked a @YouTube video http://youtu.be/PHZpU1ykdc8?a  Check Your Privilege Episode Two: Fat Acceptance,1,2,
65,25607,804064781418319874,I liked a @YouTube video http://youtu.be/ZsdaLqAZ9hA?a  Fat Acceptance | ContraPoints,2,2,
66,31434,916420267320082433,Fat shaming is not helpful (we do not eat more than our non-obese kin) but fat acceptance is equally misguided (see The Obesity Code). https://twitter.com/eissolomon11/status/916415669444497408 …,2,1,
67,4104,134641820834594816,Fat Acceptance Is Unacceptable http://wp.me/p1GY7G-dB  /via @wordpressdotcom,1,1,
68,3707,103958123710132226,RT @awesomefrances Don't forget @Doc_Samantha and I are on ABC @702sydney @ 10.30am talking about #fatacceptance.,0,2,
69,25910,811249822284058624,#FatShaming #FatAcceptance #dietpains World's knowledge in 1 hand site: Women Admit Their Top Regrets -Can We Learn? http://bit.ly/1LjZ9ir ,2,2,
70,10142,420994333228015616,"I love Freelee the Banana Girl!!
Fat Acceptance, Fat Shaming 
http://www.youtube.com/watch?v=eP0gtM5pcoU&feature=c4-overview&list=UULwUd5KtYONsRJ3UAOojZ0w …",0,2,
71,47731,1197546039802257411,"Obese person listening to food cues =crack addict listening to crack cues.
#fatloss #fatacceptance kills",1,1,
72,47184,1186215860572184576,"Hey furries, stuffing fetishes are not ‘fat acceptance/body positive’. 

Stop it ",0,2,
73,45419,1153887428014465024,"#fatacceptance the fact that you call being overweight beautiful is disgusting. my family is overweight and seeing them struggle with it is heartbreaking. heart disease is the #1 causing death in america. if you want to call death beautiful, fuck you.",1,1,
74,2886,42142921213878272,i remember reading on one of the many fat acceptance blogs i follow that one main step to loving your self... http://tumblr.com/xzb1mwbq4o,0,0,
75,1818,17957350908,RT @HealthHabits Fat Belly = Tiny Brain - http://bit.ly/b2CZ4c - #health #fitness #obesity #fat #diet #fatacceptance #brain,1,1,
76,5603,199207871307710464,"@Cookwitch ISWYM, my comment was more fat and healthy is fine, but if health issues are made worse by fat, why hide behind fat acceptance",1,1,
77,411,9441812757,RT @BigGirlBlue: What Fat Acceptance is or isn't in a nutshell --> http://tinyurl.com/ykusnfx  RT load and often!!,2,2,
78,48475,1210448698636787714,"Are you body shaming.

#fatacceptance
#haes
#BodyShaming
#BodyPositivity",0,0,
79,21385,713205594417537024,"Common modern woman's dilemma: too fat to be hot, too skinny to be a fetish--or a fat acceptance activist. https://twitter.com/ninjadinosaur1/status/703344166907088896 …",2,1,
80,41270,1084113025559420930,"I'm going to embarrass myself. If you're not paraplegic or quadriplegic, and you're laying your fat ass around the house right now, look up this name J.D. Gibbs. #NASCAR HE WAS 49. MY SAME AGE. Fuck #FatAcceptance #BodyPositive Life is short & can be taken from you in an instant",1,1,
81,46114,1167177056121217024,"Both of them because being fat is not derrogatory. If you think fat is an insult then you hate to go check your bodyshaming a little. Their movement is even called ""Fat acceptance"" omg",0,0,
82,4385,155147287121760257,#Ask How come Canadians always need a movement to accept each other?: The fat acceptance movement - http://www.y... http://bit.ly/zrr2uZ ,1,1,
83,44973,1146767084610883587,"Seriously though, if you want me to pay more for things because of some people's lack of self control I feel it is fully justified for me to judge those people for their lack of self control.

And the fat acceptance movements should be shut down and considered dangerous.",1,1,
84,1464,17383347827,": ""Huge"" Marks Advance for Fat Acceptance in Hollywood - ABC News http://ping.fm/eRgg5 http://bit.ly/aHJZJa",0,2,
85,40794,1074840593631563776,I liked a @YouTube video http://youtu.be/Eik_g-f8Lws?a  Fat Acceptance Hits an All Time Low,1,1,
86,4088,133256654186741760,"The other side of the coin...? - I like to think I’m part of the Fat Acceptance movement, though I wouldn’t... http://tmblr.co/Zi_LmwBaqqOl ",0,0,
87,1130,17446434782,"'Huge' marks advance for fat acceptance on TV: After years of reality weight-loss and diet shows, the first episode of ""Huge"" on cable...",0,0,
88,30772,901134704463667200,#feminism #fatshaming #fatacceptance #fattiesunite #itsokayimfat #tgm #ifatshame because I care. Im at 210 working for 160 #Letsgo #grind,1,1,
89,12032,484552278117212160,"Also, ""fat acceptance"" is a very dangerous mindset.",1,1,
90,1716,17573080167,quot;Huge quot; is advance for fat acceptance in Hollywood - Calgary Herald http://tinyurl.com/2fm89rp,0,2,
91,27050,837084150662320132,When ur favorite fat acceptance and positivity gals interact  https://twitter.com/fyeahmfabello/status/837075668101890048 …,0,0,
92,39808,1052197524323389440,"The #fatacceptance movement is disillusioned, destructive and dangerous. #weightloss is hard enough how it is!http://youtu.be/ECg8CEhjFO8?a ",1,1,
93,24139,772838265623805952,I liked a @YouTube video http://youtu.be/I796qi7YLgA?a  Fat Acceptance - MGTOW,1,2,
94,31288,913600576247746560,Who else is excited for the fat activism conference next week? #fatactivism #fatacceptance ,0,0,
95,1922,19756999954,New slogan for Fat Acceptance movement: a waist is a terrible thing to mind. Has this already been done?,0,2,
96,23975,769701326284550148,I liked a @YouTube video from @cringe_core http://youtu.be/tOVhLziWwCA?a  FAT ACCEPTANCE CRINGE COMPILATION,1,1,
97,45956,1164975577960308736,"As a soon to be former fat guy. The fat acceptance thing is pure b.s. by yes people who do not want to do the work. And want all of us to kiss your ass. NOT GOING TO ""F""ing happen buttercup.",1,1,
98,24172,773551732022534144,Enjoy the 'Super Duper Incontrovertibly Incredible & Unrelentingly Exciting Fat Acceptance Test' - on #BookBuzzr - http://bit.ly/9AW2y9 ,2,2,
99,38989,1040373202583580672,I liked a @YouTube video http://youtu.be/tOVhLziWwCA?a  FAT ACCEPTANCE CRINGE COMPILATION,1,1,
